Unit,bronze_preban_count,bronze_preban_pct,silver_preban_count,silver_preban_pct,gold_preban_count,gold_preban_pct,master_preban_count,master_preban_pct,challenger_preban_count,challenger_preban_pct,champion_preban_count,champion_preban_pct,legend_preban_count,legend_preban_pct,total
Violet,2,0.00015599407222525544,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,3
Rima,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,2,0.00014129282938890852,0,0.0,0,0.0,3
Ervalen,3,0.00023399110833788317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
Sigret,3,0.00023399110833788317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
Luna,3,0.00023399110833788317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
Holidy Yufine,1,7.799703611262772e-05,1,5.1015202530354045e-05,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,3
Haste,2,0.00015599407222525544,0,0.0,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,3
Rose,1,7.799703611262772e-05,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,3
Iseria,2,0.00015599407222525544,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
Doris,0,0.0,0,0.0,2,6.506815889644402e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Azalea,0,0.0,0,0.0,2,6.506815889644402e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Pavel,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,2
Sez,0,0.0,1,5.1015202530354045e-05,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Gunther,0,0.0,1,5.1015202530354045e-05,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,2
Destina,0,0.0,1,5.1015202530354045e-05,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Zeno,0,0.0,0,0.0,1,3.253407944822201e-05,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,2
Tamarinne,1,7.799703611262772e-05,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Elson,1,7.799703611262772e-05,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
Judith,1,7.799703611262772e-05,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Serila,0,0.0,0,0.0,0,0.0,2,0.00010178117048346055,0,0.0,0,0.0,0,0.0,2
Requiemroar,0,0.0,0,0.0,0,0.0,1,5.089058524173028e-05,0,0.0,1,4.986785019697801e-05,0,0.0,2
Montmorancy,1,7.799703611262772e-05,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
Karin,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,2
